Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Datasource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,High_Confidence_Interval,Low_Confidence_Interval,SampleSize,Break_Out,LocationID,GeoLocation,SortUSFirst,Break_Out_Category,Break_Out_ID,SortBreakOutID,IndicatorID
2018,PA,Pennsylvania,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.5,,,71,68,4308,,42,"(40.793730152, -77.860700294)",2,None,,1,ADT1_1
2018,AK,Alaska,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,70.8,,,75.5,66.1,431,55-64,2,"(64.845079957001, -147.722059036)",2,Age,5AGE,8,ADT1_1
2018,OR,Oregon,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.3,,,72.4,66.2,1258,65+,41,"(44.567449424, -120.155031326)",2,Age,6AGE,9,ADT1_1
2018,NE,Nebraska,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,70.2,,,72,68.4,3745,65+,31,"(41.641040988001, -99.365720623)",2,Age,6AGE,9,ADT1_1
2018,FL,Florida,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,68.7,,,74,63.4,552,18-24,12,"(28.932040377, -81.928960539)",2,Age,1AGE,4,ADT1_1
2018,HI,Hawaii,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,79.3,,,81.9,76.7,1186,55-64,15,"(21.304850435, -157.857749403)",2,Age,5AGE,8,ADT1_1
2018,ND,North Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67.6,,,69.4,65.8,3943,,38,"(47.475319779, -100.118421049)",2,None,,1,ADT1_1
2018,GA,Georgia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,60.6,,,63.8,57.4,769,35-44,13,"(32.839681093, -83.627580346)",2,Age,3AGE,6,ADT1_1
2018,SD,South Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,68.6,,,76,61.2,240,18-24,46,"(44.353130053, -100.373530637)",2,Age,1AGE,4,ADT1_1
2018,MD,Maryland,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,65.4,,,70,60.8,416,18-24,24,"(39.290580964, -76.609260111)",2,Age,1AGE,4,ADT1_1
2018,IA,Iowa,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,66.8,,,69.9,63.7,650,25-34,19,"(42.469400913, -93.816490556)",2,Age,2AGE,5,ADT1_1
2018,RI,Rhode Island,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,78,,,81,75,1009,55-64,44,"(41.708280193, -71.522470314)",2,Age,5AGE,8,ADT1_1
2018,SC,South Carolina,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,62.6,,,64.4,60.8,3226,65+,45,"(33.998821303, -81.045371207)",2,Age,6AGE,9,ADT1_1
2018,KS,Kansas,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.7,,,71.4,68,2895,65+,20,"(38.3477403, -98.200781227)",2,Age,6AGE,9,ADT1_1
2018,NJ,New Jersey,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72.2,,,74.8,69.6,2237,,34,"(40.130570048, -74.273691288)",2,None,,1,ADT1_1
2018,NY,New York,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,65.2,,,67.5,62.9,2554,25-34,36,"(42.827001032, -75.543970427)",2,Age,2AGE,5,ADT1_1
2018,MA,Massachusetts,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,64.8,,,69,60.6,531,25-34,25,"(42.27687047, -72.082690675)",2,Age,2AGE,5,ADT1_1
2018,NV,Nevada,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,58.9,,,65.1,52.7,248,25-34,32,"(39.49324039, -117.071840564)",2,Age,2AGE,5,ADT1_1
2018,NH,New Hampshire,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72.5,,,74.7,70.3,1770,65+,33,"(43.655950113, -71.50036092)",2,Age,6AGE,9,ADT1_1
2018,LA,Louisiana,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,55.4,,,60.2,50.6,389,35-44,22,"(31.312660644, -92.445680071)",2,Age,3AGE,6,ADT1_1
2018,PR,Puerto Rico,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,77,,,82.3,71.7,271,18-24,72,"(18.220833, -66.590149)",2,Age,1AGE,4,ADT1_1
2018,WY,Wyoming,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,63.9,,,69.2,58.6,226,25-34,56,"(43.235541343, -108.109830353)",2,Age,2AGE,5,ADT1_1
2018,DC,District Columbia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,73.8,,,75.6,72,3237,,11,"(38.890371385, -77.031961127)",2,None,,1,ADT1_1
2018,MI,Michigan,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,71,,,72.2,69.8,7504,,26,"(44.661319543001, -84.71439027)",2,None,,1,ADT1_1
2018,MS,Mississippi,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,53.9,,,58.8,49,329,25-34,28,"(32.745510099, -89.538030825)",2,Age,2AGE,5,ADT1_1
2018,KY,Kentucky,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,60.9,,,65.8,56,529,25-34,21,"(37.645970271, -84.774971048)",2,Age,2AGE,5,ADT1_1
2018,UT,Utah,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72.7,,,75.4,70,1213,45-54,49,"(39.360700171, -111.587130635)",2,Age,4AGE,7,ADT1_1
2018,PR,Puerto Rico,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,76.9,,,81.1,72.7,500,25-34,72,"(18.220833, -66.590149)",2,Age,2AGE,5,ADT1_1
2018,LA,Louisiana,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,61.1,,,64.6,57.6,862,65+,22,"(31.312660644, -92.445680071)",2,Age,6AGE,9,ADT1_1
2018,DE,Delaware,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,66.2,,,69.8,62.6,712,55-64,10,"(39.008830667, -75.577741168)",2,Age,5AGE,8,ADT1_1
2018,WI,Wisconsin,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,76,,,79.3,72.7,848,55-64,55,"(44.393191174, -89.816370742)",2,Age,5AGE,8,ADT1_1
2018,IN,Indiana,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67.9,,,73.2,62.6,238,18-24,18,"(39.766910452, -86.149960194)",2,Age,1AGE,4,ADT1_1
2018,VT,Vermont,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,74.9,,,78.3,71.5,825,45-54,50,"(43.625381239, -72.517640791)",2,Age,4AGE,7,ADT1_1
2018,AL,Alabama,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,59.5,,,63.7,55.3,460,35-44,1,"(32.840571122, -86.631860762)",2,Age,3AGE,6,ADT1_1
2018,SD,South Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,61.7,,,67.9,55.5,450,25-34,46,"(44.353130053, -100.373530637)",2,Age,2AGE,5,ADT1_1
2018,ID,Idaho,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,66.5,,,71.9,61.1,317,45-54,16,"(43.682630005, -116.363730042)",2,Age,4AGE,7,ADT1_1
2018,AR,Arkansas,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,52.9,,,58.7,47.1,197,25-34,5,"(34.748650124, -92.274490743)",2,Age,2AGE,5,ADT1_1
2018,GA,Georgia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,62.5,,,63.8,61.2,5893,,13,"(32.839681093, -83.627580346)",2,None,,1,ADT1_1
2018,DE,Delaware,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72.3,,,74.9,69.7,1325,65+,10,"(39.008830667, -75.577741168)",2,Age,6AGE,9,ADT1_1
2018,ND,North Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67.8,,,72.4,63.2,373,35-44,38,"(47.475319779, -100.118421049)",2,Age,3AGE,6,ADT1_1
2018,VA,Virginia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,73.1,,,76,70.2,1273,45-54,51,"(37.542680674, -78.457890463)",2,Age,4AGE,7,ADT1_1
2018,ME,Maine,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67.6,,,74.9,60.3,208,18-24,23,"(45.254228894001, -68.985031336)",2,Age,1AGE,4,ADT1_1
2018,HI,Hawaii,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72,,,75.6,68.4,742,35-44,15,"(21.304850435, -157.857749403)",2,Age,3AGE,6,ADT1_1
2018,DE,Delaware,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,66.5,,,73.5,59.5,202,18-24,10,"(39.008830667, -75.577741168)",2,Age,1AGE,4,ADT1_1
2018,KY,Kentucky,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,59.8,,,64.6,55,595,35-44,21,"(37.645970271, -84.774971048)",2,Age,3AGE,6,ADT1_1
2018,OR,Oregon,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,68.5,,,71.9,65.1,574,35-44,41,"(44.567449424, -120.155031326)",2,Age,3AGE,6,ADT1_1
