Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Datasource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,High_Confidence_Interval,Low_Confidence_Interval,SampleSize,Break_Out,LocationID,GeoLocation,SortUSFirst,Break_Out_Category,Break_Out_ID,SortBreakOutID,IndicatorID
2018,IA,Iowa,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,74.5,,,76,73,3557,Female,19,"(42.469400913, -93.816490556)",2,Gender,1GEN,2,ADT1_1
2018,NJ,New Jersey,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,68.7,,,72.5,64.9,1043,Male,34,"(40.130570048, -74.273691288)",2,Gender,2GEN,3,ADT1_1
2018,SD,South Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72.8,,,75.7,69.9,2829,Female,46,"(44.353130053, -100.373530637)",2,Gender,1GEN,2,ADT1_1
2018,VT,Vermont,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.6,,,72,67.2,2033,Male,50,"(43.625381239, -72.517640791)",2,Gender,2GEN,3,ADT1_1
2018,FL,Florida,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,63,,,65.3,60.7,3984,Male,12,"(28.932040377, -81.928960539)",2,Gender,2GEN,3,ADT1_1
2018,NH,New Hampshire,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,71.5,,,73.9,69.1,2321,Female,33,"(43.655950113, -71.50036092)",2,Gender,1GEN,2,ADT1_1
2018,MN,Minnesota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,77.1,,,78.2,76,6743,Female,27,"(46.355648736, -94.794200503)",2,Gender,1GEN,2,ADT1_1
2018,MA,Massachusetts,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72.5,,,74.6,70.4,2261,Male,25,"(42.27687047, -72.082690675)",2,Gender,2GEN,3,ADT1_1
2018,OH,Ohio,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,72,,,73.6,70.4,5157,Female,39,"(40.060210141, -82.404260056)",2,Gender,1GEN,2,ADT1_1
2018,VA,Virginia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,74.6,,,76.3,72.9,4204,Female,51,"(37.542680674, -78.457890463)",2,Gender,1GEN,2,ADT1_1
