Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Datasource,Data_Value_Unit,Data_Value_Type,Data_Value,High_Confidence_Interval,Low_Confidence_Interval,SampleSize,Break_Out,LocationID,GeoLocation,SortUSFirst,Break_Out_Category,Break_Out_ID,SortBreakOutID,IndicatorID
2018,TN,Tennessee,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,75.2,78,72.4,1384,"$50,000+",47,"(35.68094058, -85.774490914)",2,Income,5INCOME,19,ADT1_1
2018,AK,Alaska,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,53,63.5,42.5,114,"$25,000-$34,999",2,"(64.845079957001, -147.722059036)",2,Income,3INCOME,17,ADT1_1
2018,DC,District Columbia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,64.8,72.2,57.4,204,"$35,000-$49,999",11,"(38.890371385, -77.031961127)",2,Income,4INCOME,18,ADT1_1
2018,MO,Missouri,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,63.8,68.7,58.9,491,"$35,000-$49,999",29,"(38.635790776, -92.566300053)",2,Income,4INCOME,18,ADT1_1
2018,IN,Indiana,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,60.9,65.3,56.5,598,"$35,000-$49,999",18,"(39.766910452, -86.149960194)",2,Income,4INCOME,18,ADT1_1
2018,VA,Virginia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.2,73.3,65.1,742,"$35,000-$49,999",51,"(37.542680674, -78.457890463)",2,Income,4INCOME,18,ADT1_1
2018,KS,Kansas,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,58.8,62.9,54.7,622,"$25,000-$34,999",20,"(38.3477403, -98.200781227)",2,Income,3INCOME,17,ADT1_1
2018,WY,Wyoming,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,64.3,69.5,59.1,393,"$35,000-$49,999",56,"(43.235541343, -108.109830353)",2,Income,4INCOME,18,ADT1_1
2018,LA,Louisiana,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,46.7,51.4,42,353,"$15,000-$24,999",22,"(31.312660644, -92.445680071)",2,Income,2INCOME,16,ADT1_1
2018,ME,Maine,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,43,47.2,38.8,668,"$15,000-$24,999",23,"(45.254228894001, -68.985031336)",2,Income,2INCOME,16,ADT1_1
2018,DC,District Columbia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67,75,59,139,"$25,000-$34,999",11,"(38.890371385, -77.031961127)",2,Income,3INCOME,17,ADT1_1
2018,SD,South Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,77.5,80.5,74.5,2181,"$50,000+",46,"(44.353130053, -100.373530637)",2,Income,5INCOME,19,ADT1_1
2018,RI,Rhode Island,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.1,75.2,63,384,"$35,000-$49,999",44,"(41.708280193, -71.522470314)",2,Income,4INCOME,18,ADT1_1
2018,HI,Hawaii,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,59.4,63.6,55.2,593,"$15,000-$24,999",15,"(21.304850435, -157.857749403)",2,Income,2INCOME,16,ADT1_1
2018,HI,Hawaii,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,50.1,57.1,43.1,272,"Less than $15,000",15,"(21.304850435, -157.857749403)",2,Income,1INCOME,15,ADT1_1
2018,MI,Michigan,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,62.4,66.6,58.2,539,"$25,000-$34,999",26,"(44.661319543001, -84.71439027)",2,Income,3INCOME,17,ADT1_1
2018,WA,Washington,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,55.3,59.7,50.9,603,"$25,000-$34,999",53,"(47.522278629, -120.47001079)",2,Income,3INCOME,17,ADT1_1
2018,WV,West Virginia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,32.5,37.5,27.5,165,"Less than $15,000",54,"(38.665510202, -80.712640135)",2,Income,1INCOME,15,ADT1_1
2018,AZ,Arizona,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,60.2,65.5,54.9,598,"$35,000-$49,999",4,"(34.86597028, -111.763811277)",2,Income,4INCOME,18,ADT1_1
2018,ND,North Dakota,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,78.2,80.4,76,2195,"$50,000+",38,"(47.475319779, -100.118421049)",2,Income,5INCOME,19,ADT1_1
2018,NV,Nevada,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,43.5,53,34,82,"Less than $15,000",32,"(39.49324039, -117.071840564)",2,Income,1INCOME,15,ADT1_1
