Year,LocationAbbr,LocationDesc,Category,Indicator,Response,Datasource,Data_Value_Unit,Data_Value_Type,Data_Value,High_Confidence_Interval,Low_Confidence_Interval,SampleSize,Break_Out,LocationID,GeoLocation,SortUSFirst,Break_Out_Category,Break_Out_ID,SortBreakOutID,IndicatorID
2018,ME,Maine,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,60,76.7,43.3,62,Hispanic,23,"(45.254228894001, -68.985031336)",2,Race,3RACE,12,ADT1_1
2018,CT,Connecticut,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,69.5,73.3,65.7,532,Hispanic,9,"(41.56266102, -72.649840952)",2,Race,3RACE,12,ADT1_1
2018,WI,Wisconsin,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67.1,76.7,57.5,140,Black,55,"(44.393191174, -89.816370742)",2,Race,2RACE,11,ADT1_1
2018,DC,District Columbia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,65.2,68,62.4,1229,Black,11,"(38.890371385, -77.031961127)",2,Race,2RACE,11,ADT1_1
2018,CA,California,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,57.3,59.2,55.4,2310,Hispanic,6,"(37.638640123, -120.999999538)",2,Race,3RACE,12,ADT1_1
2018,NM,New Mexico,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,55.5,72,39,36,MultiRacial,35,"(34.520880952, -106.240580985)",2,Race,5RACE,16,ADT1_1
2018,UT,Utah,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,67.5,79.7,55.3,42,Black,49,"(39.360700171, -111.587130635)",2,Race,2RACE,11,ADT1_1
2018,WV,West Virginia,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,41.9,55.1,28.7,36,MultiRacial,54,"(38.665510202, -80.712640135)",2,Race,5RACE,16,ADT1_1
2018,SC,South Carolina,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,64.4,66,62.8,4838,White,45,"(33.998821303, -81.045371207)",2,Race,1RACE,10,ADT1_1
2018,FL,Florida,Adult,Adults aged 18+ who have visited a dentist or dental clinic in the past year,Yes,BRFSS,%,Crude Prevalence,61.4,66.1,56.7,795,Black,12,"(28.932040377, -81.928960539)",2,Race,2RACE,11,ADT1_1
