city,state_id,state_name,lat,lng,population,density,count,per density
Detroit,MI,Michigan,42.3834,-83.1024,3725908,1796.9,26,0.014469363904502198
New York,NY,New York,40.6943,-73.9249,18908608,11226.2,316,0.02814843847428337
Bakersfield,CA,California,35.3529,-119.0359,571992,1024.5,5,0.004880429477794046
Orlando,FL,Florida,28.4773,-81.337,1882705,1053.6,6,0.0056947608200455585
Columbia,SC,South Carolina,34.0378,-80.9036,604065,384.6,17,0.044201768070722826
McAllen,TX,Texas,26.2252,-98.2467,797341,879.6,6,0.0068212824010914054
San Diego,CA,California,32.8313,-117.1222,3046560,1641.4,35,0.021323260631168513
San Juan,PR,Puerto Rico,18.3985,-66.061,1814587,3155.2,44,0.013945233265720083
Des Moines,IA,Iowa,41.5725,-93.6105,548926,935.0,19,0.020320855614973262
Tulsa,OK,Oklahoma,36.1283,-95.9042,731743,801.7,22,0.027441686416365223
Milwaukee,WI,Wisconsin,43.0642,-87.9675,1290940,2321.3,18,0.007754275621419032
St. Louis,MO,Missouri,38.6359,-90.2451,2130881,1894.2,14,0.007390983000739098
San Antonio,TX,Texas,29.4632,-98.5238,2058444,1110.2,12,0.010808863267879661
Las Vegas,NV,Nevada,36.2333,-115.2654,2248047,1727.8,18,0.010417872438939692
San Francisco,CA,California,37.7558,-122.4449,3364979,7153.8,104,0.014537728200396992
Allentown,PA,Pennsylvania,40.5961,-75.4756,627863,2753.3,41,0.014891221443358877
Austin,TX,Texas,30.3005,-97.7522,1905945,1137.8,52,0.045702232378273866
Memphis,TN,Tennessee,35.1087,-89.9663,1037998,830.2,3,0.0036135870874488074
Los Angeles,CA,California,34.1141,-118.4068,11922389,3202.3,50,0.015613777597351903
Rochester,NY,New York,43.168,-77.6162,699921,2279.2,9,0.003948753948753949
Kansas City,MO,Missouri,39.1238,-94.5541,1689556,616.6,11,0.017839766461239054
El Paso,TX,Texas,31.8476,-106.43,865270,1010.2,2,0.0019798059790140567
Fort Worth,TX,Texas,32.7817,-97.3474,908469,1003.4,9,0.008969503687462627
Albuquerque,NM,New Mexico,35.1054,-106.6465,769986,1159.4,48,0.04140072451267897
Charleston,SC,South Carolina,32.8168,-79.9687,706884,496.5,4,0.008056394763343404
Baton Rouge,LA,Louisiana,30.442,-91.1311,635671,1001.6,20,0.019968051118210862
Hartford,CT,Connecticut,41.7661,-72.6834,974684,2700.6,25,0.009257202103236318
San Jose,CA,California,37.3012,-121.848,1771413,2199.0,210,0.09549795361527967
Phoenix,AZ,Arizona,33.5722,-112.0892,4064275,1185.3,36,0.030372057706909643
Knoxville,TN,Tennessee,35.9692,-83.9496,615829,740.4,2,0.002701242571582928
Wichita,KS,Kansas,37.6895,-97.3443,509003,935.3,6,0.0064150539933711115
Denver,CO,Colorado,39.762,-104.8758,2687458,1782.8,56,0.03141126318151223
Cleveland,OH,Ohio,41.4764,-81.6805,1680247,1861.9,29,0.015575487405338631
Albany,NY,New York,42.6664,-73.7987,590694,1793.1,29,0.01617310802520774
Indianapolis,IN,Indiana,39.7771,-86.1458,1729849,939.8,19,0.02021706746116195
Buffalo,NY,New York,42.9018,-78.8487,944589,2639.2,27,0.010230372840254623
Salt Lake City,UT,Utah,40.7776,-111.9311,1173879,693.4,17,0.02451687337755985
Boston,MA,Massachusetts,42.3188,-71.0852,4328315,5373.9,83,0.01544502130668602
Akron,OH,Ohio,41.0798,-81.5219,541945,1193.7,34,0.028482868392393397
Brooklyn,NY,New York,40.6501,-73.9496,2736074,15200.5,216,0.014210058879642117
Provo,UT,Utah,40.2457,-111.6457,619218,1051.2,13,0.012366818873668188
Nashville,TN,Tennessee,36.1715,-86.7842,1177657,554.2,4,0.007217610970768675
Washington,DC,District of Columbia,38.9047,-77.0163,5116378,4315.1,68,0.015758615095826285
Colorado Springs,CO,Colorado,38.8674,-104.7605,638194,909.2,81,0.08908930928288605
Concord,CA,California,37.9722,-122.0016,531175,1589.0,22,0.013845185651353053
Sacramento,CA,California,38.5677,-121.4685,1957738,2029.8,17,0.008375209380234507
Tucson,AZ,Arizona,32.1541,-110.8787,878320,859.3,10,0.011637379262190155
Seattle,WA,Washington,47.6211,-122.3244,3561397,3337.3,162,0.048542234740658614
Bridgeport,CT,Connecticut,41.1918,-73.1954,908251,3569.8,39,0.010924981791697014
Tampa,FL,Florida,27.9945,-82.4447,2861173,1292.7,8,0.006188597509089502
Chicago,IL,Illinois,41.8375,-87.6866,8497759,4648.7,34,0.007313872695592316
New Orleans,LA,Louisiana,30.0687,-89.9288,932759,874.7,0,0.0
Queens,NY,New York,40.7498,-73.7976,2405464,8503.7,129,0.01516986723426273
Palm Bay,FL,Florida,27.9631,-80.6593,534348,530.4,6,0.011312217194570135
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5683533,4588.9,38,0.008280851620213995
Raleigh,NC,North Carolina,35.8324,-78.6429,1163152,1201.4,37,0.030797403029798567
Mission Viejo,CA,California,33.6096,-117.6551,642211,2053.7,41,0.0199639674733408
Portland,OR,Oregon,45.5371,-122.65,2095808,1871.9,140,0.07479031999572626
Dallas,TX,Texas,32.7935,-96.7667,5830932,1478.3,25,0.016911317053372118
Miami,FL,Florida,25.784,-80.2101,6080145,4728.2,15,0.0031724546338987355
Birmingham,AL,Alabama,33.5279,-86.7971,782111,531.2,8,0.01506024096385542
Omaha,NE,Nebraska,41.2627,-96.0529,821345,1320.8,51,0.0386129618413083
Manhattan,NY,New York,40.7834,-73.9662,1694263,28653.9,186,0.0064912629694387144
Dayton,OH,Ohio,39.7805,-84.2003,668825,957.7,8,0.008353346559465385
Bronx,NY,New York,40.8501,-73.8662,1472654,13356.3,45,0.003369196558927248
Louisville,KY,Kentucky,38.1663,-85.6485,963812,924.7,5,0.005407159078620093
Providence,RI,Rhode Island,41.823,-71.4187,1290271,3960.7,4,0.0010099224884490116
Houston,TX,Texas,29.786,-95.3885,5970127,1382.2,67,0.04847344812617566
Cape Coral,FL,Florida,26.6443,-81.9957,654405,702.7,5,0.007115411982353778
Virginia Beach,VA,Virginia,36.7335,-76.0435,1443020,722.1,9,0.012463647694225177
Columbus,OH,Ohio,39.9862,-82.9855,1572546,1573.4,21,0.013346892080844032
Riverside,CA,California,33.9381,-117.3949,2332836,1498.1,14,0.009345170549362526
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1749091,2114.1,46,0.021758667991107327
Fresno,CA,California,36.783,-119.7939,725276,1795.8,4,0.0022274195344693173
Richmond,VA,Virginia,37.5295,-77.4756,1073223,1454.1,17,0.011691080393370471
New Haven,CT,Connecticut,41.3113,-72.9246,565572,2765.6,26,0.009401214926236622
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,998806,428.6,15,0.03499766682221185
Cincinnati,OH,Ohio,39.1413,-84.506,1692702,1529.6,15,0.009806485355648537
Atlanta,GA,Georgia,33.7628,-84.422,5180179,1404.8,14,0.009965831435079727
Grand Rapids,MI,Michigan,42.9619,-85.6562,609023,1706.1,18,0.010550378055213645
Jacksonville,FL,Florida,30.3322,-81.6749,1288298,484.5,6,0.01238390092879257
Baltimore,MD,Maryland,39.3051,-76.6144,2196524,2824.8,37,0.013098272444066836
