city,state_id,state_name,lat,lng,population,density,count,per density
Parkville,MD,Maryland,39.3832,-76.5519,30783,2773.9,48,0.017304156602617252
Oak Island,NC,North Carolina,33.9434,-78.1366,8252,165.3,0,0.0
Livingston,MT,Montana,45.6665,-110.5539,8110,523.7,0,0.0
Kenova,WV,West Virginia,38.4026,-82.5822,3052,893.3,2,0.002238889510802642
Medina,TX,Texas,26.9289,-99.2614,5004,1089.4,0,0.0
Leisure Village East,NJ,New Jersey,40.0384,-74.1678,4598,1145.0,4,0.0034934497816593887
Kensington,CA,California,37.9083,-122.2805,5288,2118.6,39,0.018408382894364205
Monongahela,PA,Pennsylvania,40.1955,-79.9222,4168,841.2,6,0.007132667617689015
Ocean Springs,MS,Mississippi,30.4082,-88.7861,18275,610.9,3,0.004910787362907187
St. Joseph,MN,Minnesota,45.5655,-94.3035,6919,287.5,1,0.0034782608695652175
Fenton,MO,Missouri,38.5279,-90.4488,4000,246.3,11,0.044660982541615914
Harrisburg,SD,South Dakota,43.4324,-96.7041,6645,546.6,4,0.007317965605561654
Madison,MS,Mississippi,32.4738,-90.13,27459,419.9,1,0.0023815194093831865
Stanford,CA,California,37.4252,-122.1674,16333,2292.8,107,0.04666782972784368
Clayton,DE,Delaware,39.2849,-75.6366,3845,762.3,0,0.0
Muleshoe,TX,Texas,34.2292,-102.7284,5781,650.6,0,0.0
Gilbertsville,PA,Pennsylvania,40.3219,-75.609,6013,693.2,5,0.007212925562608194
Mountain House,CA,California,37.7673,-121.5449,23132,1959.6,3,0.0015309246785058176
Wailuku,HI,Hawaii,20.8834,-156.5059,15670,1149.1,0,0.0
Big Rapids,MI,Michigan,43.6992,-85.4806,9105,790.8,0,0.0
Brent,AL,Alabama,32.9421,-87.1753,3214,141.0,0,0.0
Ricardo,TX,Texas,27.4186,-97.8476,1041,90.0,0,0.0
Susanville,CA,California,40.4206,-120.6132,16305,795.1,3,0.0037731103005911207
Palmetto Bay,FL,Florida,25.6219,-80.3221,24327,1133.7,15,0.013231013495633765
Sellersville,PA,Pennsylvania,40.36,-75.3083,4528,1528.4,8,0.005234231876472127
Black Mountain,NC,North Carolina,35.6144,-82.3274,8386,482.5,0,0.0
New Glarus,WI,Wisconsin,42.8132,-89.6337,2211,473.0,0,0.0
Holly Springs,GA,Georgia,34.1681,-84.4847,15784,841.3,3,0.0035659099013431598
Lomas,PR,Puerto Rico,18.2688,-65.9096,1385,1038.6,2,0.001925669170036588
Derwood,MD,Maryland,39.1136,-77.151,1700,1047.5,12,0.011455847255369928
